No.,Timestamp,Berat
2,06:42:24:215,8.83
3,06:42:24:402,9.93
4,06:42:24:605,10.84
5,06:42:24:792,11.54
6,06:42:24:979,12.14
7,06:42:25:182,12.84
8,06:42:25:369,13.34
9,06:42:25:556,13.94
10,06:42:25:743,14.34
11,06:42:25:946,14.64
12,06:42:26:133,14.84
13,06:42:26:321,15.24
14,06:42:26:523,15.44
15,06:42:26:711,15.74
16,06:42:26:898,15.94
17,06:42:27:101,16.04
18,06:42:27:288,16.14
19,06:42:27:475,16.44
20,06:42:27:678,16.54
21,06:42:27:865,16.54
22,06:42:28:052,16.64
23,06:42:28:255,16.84
24,06:42:28:442,17.04
25,06:42:28:629,17.34
26,06:42:28:832,17.34
27,06:42:29:019,17.44
28,06:42:29:207,17.64
29,06:42:29:394,17.34
30,06:42:29:597,16.44
31,06:42:29:784,16.04
32,06:42:29:971,16.14
33,06:42:30:174,16.04
34,06:42:30:361,16.24
35,06:42:30:548,16.44
36,06:42:30:751,16.54
37,06:42:30:938,16.54
38,06:42:31:125,16.54
39,06:42:31:328,16.64
40,06:42:31:515,16.84
41,06:42:31:703,16.94
42,06:42:31:905,17.14
43,06:42:32:093,17.24
44,06:42:32:280,17.44
45,06:42:32:483,17.64
46,06:42:32:670,17.94
47,06:42:32:857,18.14
48,06:42:33:060,15.54
49,06:42:33:247,11.14
50,06:42:33:434,9.43
51,06:42:33:621,9.43
52,06:42:33:824,9.93
53,06:42:34:011,10.14
54,06:42:34:199,10.24
55,06:42:34:401,10.54
56,06:42:34:589,11.04
57,06:42:34:776,11.34
58,06:42:34:979,11.84
59,06:42:35:166,11.74
60,06:42:35:353,11.04
61,06:42:35:556,10.24
62,06:42:35:743,10.14
63,06:42:35:930,10.04
64,06:42:36:133,9.93
65,06:42:36:320,10.14
66,06:42:36:507,10.34
67,06:42:36:695,10.64
68,06:42:36:897,10.64
69,06:42:37:085,10.94
70,06:42:37:272,9.73
71,06:42:37:475,7.63
72,06:42:37:662,4.23
